version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 123456789012 eni-abc11111 10.0.1.5 172.16.0.50 443 52314 6 12 4800 1620000001 1620000061 ACCEPT OK
2 123456789012 eni-abc22222 10.0.1.5 8.8.8.8 53 34210 17 1 76 1620000010 1620000011 ACCEPT OK
2 123456789012 eni-abc33333 10.0.1.5 8.8.8.8 53 41022 17 1 76 1620000015 1620000016 ACCEPT OK
2 123456789012 eni-abc44444 10.0.1.5 172.16.0.50 443 60001 6 8 3200 1620000020 1620000080 ACCEPT OK
2 123456789012 eni-abc55555 10.0.1.5 198.51.100.3 54321 443 6 8 3840 1620000090 1620000100 ACCEPT OK
2 123456789012 eni-abc66666 10.0.1.5 10.0.2.9 8080 55123 6 7 3360 1620000050 1620000060 ACCEPT OK
2 123456789012 eni-def11111 192.168.0.10 10.0.1.5 80 8080 6 5 300 1620000020 1620000025 ACCEPT OK
2 123456789012 eni-def22222 172.16.0.1 10.0.1.5 3306 45678 6 100 51200 1620000060 1620000120 ACCEPT OK
2 123456789012 eni-def33333 198.51.100.3 10.0.1.5 443 54321 6 8 3840 1620000080 1620000090 REJECT OK
2 123456789012 eni-def44444 203.0.113.7 10.0.1.5 22 61000 6 3 180 1620000030 1620000035 REJECT OK
2 123456789012 eni-ghi11111 203.0.113.7 172.16.0.50 22 1024 6 3 180 1620000030 1620000035 REJECT OK
2 123456789012 eni-ghi22222 10.0.1.8 10.0.2.9 443 60000 6 20 9600 1620000040 1620000100 ACCEPT OK
2 123456789012 eni-ghi33333 10.0.1.8 10.0.2.9 443 60001 6 18 8640 1620000045 1620000105 ACCEPT OK
2 123456789012 eni-ghi44444 10.0.1.8 10.0.2.9 443 60002 6 22 10560 1620000050 1620000110 ACCEPT OK
2 123456789012 eni-ghi55555 10.0.0.1 192.168.1.1 514 514 17 2 160 1620000070 1620000071 ACCEPT OK
2 123456789012 eni-jkl11111 10.0.2.9 10.0.1.5 8443 49200 6 15 7200 1620000100 1620000160 ACCEPT OK
2 123456789012 eni-jkl22222 10.0.2.9 10.0.1.5 8443 49201 6 12 5760 1620000105 1620000165 ACCEPT OK
2 123456789012 eni-jkl33333 10.0.3.1 8.8.4.4 53 33001 17 1 76 1620000110 1620000111 ACCEPT OK
2 123456789012 eni-jkl44444 10.0.3.1 8.8.4.4 53 33002 17 1 76 1620000112 1620000113 ACCEPT OK
2 123456789012 eni-jkl55555 10.0.3.1 8.8.4.4 53 33003 17 1 76 1620000114 1620000115 ACCEPT OK
2 123456789012 eni-mno11111 172.16.5.20 10.0.1.5 3389 52000 6 30 14400 1620000120 1620000180 REJECT OK
2 123456789012 eni-mno22222 172.16.5.20 10.0.1.5 3389 52001 6 28 13440 1620000125 1620000185 REJECT OK
2 123456789012 eni-mno33333 10.0.1.5 172.16.5.20 52000 3389 6 30 14400 1620000120 1620000180 ACCEPT OK
2 123456789012 eni-mno44444 - - - - 1 - - 1620000130 1620000131 - NODATA
2 123456789012 eni-mno55555 - - - - 1 - - 1620000135 1620000136 - SKIPDATA
